route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
L,B20130803WKD,B20130803WKD_085200_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_081300_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_085700_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_081800_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_086200_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_082300_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_086700_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_082800_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_087200_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_083450_L..N02R,8 AV,0,,L..N02R
L,B20130803WKD,B20130803WKD_087700_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_083800_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_088200_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_084300_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_088700_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_084800_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_089200_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_085300_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_089700_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_085800_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_090200_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_086300_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_090700_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_086950_L..N02R,8 AV,0,,L..N02R
L,B20130803WKD,B20130803WKD_091200_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_087300_L..N01R,8 AV,0,,L..N01R
